train_id,route,date,day_type,departure_time,passenger_count,seat_capacity,num_coaches,platform_number,delay_minutes
T030,Delhi-Kolkata,2024-02-15,Weekday,21:30,1080,1008,14,2,29
T031,Bengaluru-Mumbai,2024-03-12,Holiday,21:30,390,576,8,1,7
T032,Delhi-Kolkata,2024-01-02,Weekday,23:15,1179,1440,20,6,17
T033,Mumbai-Delhi,2024-03-08,Weekday,18:00,984,1512,21,3,35
T034,Mumbai-Delhi,2024-02-01,Weekday,14:45,870,1008,14,3,18
T035,Bengaluru-Mumbai,2024-03-12,Holiday,10:15,534,1368,19,4,62
T036,Delhi-Kolkata,2024-02-13,Weekend,18:00,1046,1296,18,4,0
T037,Mumbai-Delhi,2024-02-22,Holiday,21:30,1159,1368,19,1,0
T038,Kolkata-Chennai,2024-02-12,Holiday,14:45,600,648,9,2,44
T039,Bengaluru-Mumbai,2024-01-08,Weekday,08:30,1323,1512,21,3,12
T040,Kolkata-Chennai,2024-02-03,Weekday,14:45,986,1440,20,6,7
T041,Kolkata-Chennai,2024-01-31,Holiday,18:00,1016,792,11,3,0
T042,Delhi-Kolkata,2024-01-01,Holiday,08:30,386,792,11,4,0
T043,Chennai-Bengaluru,2024-03-16,Weekend,14:45,680,1008,14,6,0
T044,Chennai-Bengaluru,2024-01-28,Weekend,06:00,963,864,12,1,14
T045,Mumbai-Delhi,2024-03-15,Weekday,06:00,329,936,13,6,50
T046,Delhi-Kolkata,2024-02-02,Holiday,18:00,440,936,13,1,0
T047,Bengaluru-Mumbai,2024-02-13,Holiday,18:00,438,720,10,2,0
T048,Chennai-Bengaluru,2024-02-13,Holiday,08:30,1008,792,11,3,3
T049,Mumbai-Delhi,2024-02-01,Weekday,18:00,1605,1512,21,4,11
T050,Bengaluru-Mumbai,2024-02-08,Holiday,08:30,1965,1584,22,5,8
T051,Delhi-Kolkata,2024-02-20,Weekend,21:30,653,1224,17,4,0
T052,Chennai-Bengaluru,2024-03-17,Holiday,08:30,1718,1440,20,4,0
T053,Delhi-Kolkata,2024-01-24,Holiday,14:45,1352,1152,16,1,41
T054,Kolkata-Chennai,2024-03-08,Weekday,23:15,316,576,8,6,2
T055,Bengaluru-Mumbai,2024-02-21,Weekday,10:15,509,1008,14,4,0
T056,Kolkata-Chennai,2024-03-04,Weekday,18:00,871,1584,22,6,11
T057,Mumbai-Delhi,2024-02-05,Weekday,08:30,1121,1296,18,5,0
T058,Mumbai-Delhi,2024-03-10,Weekend,14:45,935,1440,20,5,0
T059,Delhi-Kolkata,2024-02-07,Weekend,18:00,1596,1368,19,4,0
T060,Kolkata-Chennai,2024-03-14,Weekday,14:45,1144,1440,20,4,13
T061,Chennai-Bengaluru,2024-03-07,Weekday,14:45,444,1080,15,1,3
T062,Bengaluru-Mumbai,2024-01-01,Weekend,18:00,385,1008,14,6,3
T063,Mumbai-Delhi,2024-01-24,Weekday,21:30,887,1296,18,4,14
T064,Chennai-Bengaluru,2024-02-04,Weekend,23:15,606,1152,16,4,0
T065,Mumbai-Delhi,2024-03-17,Holiday,08:30,1298,1584,22,5,45
T066,Mumbai-Delhi,2024-02-21,Weekday,23:15,809,1008,14,3,0
T067,Mumbai-Delhi,2024-01-04,Weekday,21:30,468,576,8,3,0
T068,Kolkata-Chennai,2024-01-29,Weekday,10:15,1039,1512,21,1,0
T069,Kolkata-Chennai,2024-01-06,Weekday,10:15,714,864,12,2,5
T070,Mumbai-Delhi,2024-02-14,Holiday,21:30,1119,1008,14,1,25
T071,Chennai-Bengaluru,2024-01-14,Weekday,21:30,1146,1440,20,3,8
T072,Kolkata-Chennai,2024-01-14,Weekend,06:00,856,1224,17,1,28
T073,Delhi-Kolkata,2024-01-22,Weekend,06:00,701,936,13,1,0
T074,Kolkata-Chennai,2024-01-07,Weekday,06:00,787,1224,17,4,7
T075,Chennai-Bengaluru,2024-01-02,Weekend,23:15,1028,1296,18,3,23
T076,Mumbai-Delhi,2024-03-17,Holiday,06:00,1309,936,13,3,14
T077,Mumbai-Delhi,2024-02-03,Weekend,21:30,433,1008,14,5,21
T078,Kolkata-Chennai,2024-01-05,Weekday,18:00,336,648,9,4,0
T079,Kolkata-Chennai,2024-01-13,Weekday,06:00,748,1008,14,2,0
T080,Mumbai-Delhi,2024-03-07,Weekday,18:00,1092,1584,22,2,6
T081,Chennai-Bengaluru,2024-02-15,Weekend,21:30,517,792,11,2,0
T082,Delhi-Kolkata,2024-03-01,Weekday,08:30,673,1368,19,6,11
T083,Kolkata-Chennai,2024-01-30,Weekend,23:15,843,1224,17,2,30
T084,Mumbai-Delhi,2024-02-17,Weekday,23:15,986,1152,16,2,0
T085,Bengaluru-Mumbai,2024-01-14,Weekend,21:30,1493,1296,18,2,8
T086,Delhi-Kolkata,2024-03-20,Weekend,18:00,676,792,11,5,0
T087,Delhi-Kolkata,2024-02-15,Weekday,10:15,431,1368,19,4,0
T088,Mumbai-Delhi,2024-01-28,Weekday,14:45,335,648,9,6,0
T089,Mumbai-Delhi,2024-03-18,Weekend,21:30,1369,1368,19,3,18
T090,Bengaluru-Mumbai,2024-02-19,Weekday,18:00,868,1224,17,6,22
T091,Kolkata-Chennai,2024-02-17,Weekend,08:30,1284,1584,22,3,31
T092,Chennai-Bengaluru,2024-02-01,Weekday,18:00,728,1008,14,3,0
T093,Chennai-Bengaluru,2024-02-06,Weekday,10:15,943,1152,16,3,0
T094,Mumbai-Delhi,2024-01-22,Holiday,18:00,1240,1368,19,1,10
T095,Mumbai-Delhi,2024-02-04,Holiday,21:30,1385,1440,20,2,9
T096,Delhi-Kolkata,2024-03-07,Weekend,06:00,1095,1224,17,2,10
T097,Kolkata-Chennai,2024-03-18,Weekend,21:30,689,720,10,3,28
T098,Kolkata-Chennai,2024-03-18,Weekday,23:15,633,1152,16,2,14
T099,Mumbai-Delhi,2024-03-18,Weekday,08:30,673,1296,18,4,45
T100,Chennai-Bengaluru,2024-02-29,Weekend,21:30,995,1008,14,1,48
T101,Mumbai-Delhi,2024-02-18,Holiday,21:30,529,1152,16,6,1
T102,Chennai-Bengaluru,2024-01-25,Holiday,14:45,1578,1368,19,3,0
T103,Delhi-Kolkata,2024-03-11,Holiday,14:45,1242,936,13,1,5
T104,Delhi-Kolkata,2024-02-09,Weekday,21:30,1029,1080,15,1,20
T105,Delhi-Kolkata,2024-02-25,Holiday,08:30,604,576,8,3,0
T106,Mumbai-Delhi,2024-02-09,Weekday,06:00,986,1008,14,5,0
T107,Chennai-Bengaluru,2024-03-08,Weekday,08:30,534,936,13,4,0
T108,Bengaluru-Mumbai,2024-03-07,Holiday,18:00,1899,1584,22,5,0
T109,Kolkata-Chennai,2024-01-11,Weekday,14:45,448,720,10,5,22
T110,Mumbai-Delhi,2024-03-14,Weekend,08:30,781,792,11,1,15
T111,Chennai-Bengaluru,2024-01-09,Weekend,06:00,834,1008,14,5,33
T112,Mumbai-Delhi,2024-02-02,Weekend,08:30,664,1296,18,3,24
T113,Mumbai-Delhi,2024-01-10,Weekend,21:30,887,1152,16,2,25
T114,Mumbai-Delhi,2024-01-05,Weekend,06:00,500,1512,21,5,2
T115,Chennai-Bengaluru,2024-01-23,Weekend,14:45,344,648,9,1,0
T116,Kolkata-Chennai,2024-01-14,Weekday,14:45,656,720,10,4,17
T117,Mumbai-Delhi,2024-02-13,Holiday,06:00,1041,1512,21,6,28
T118,Delhi-Kolkata,2024-02-11,Holiday,14:45,396,1008,14,4,20
T119,Mumbai-Delhi,2024-01-01,Weekend,21:30,1049,1224,17,2,0
T120,Chennai-Bengaluru,2024-01-21,Weekend,14:45,753,1152,16,4,0
T121,Chennai-Bengaluru,2024-02-26,Weekday,06:00,602,576,8,5,50
T122,Mumbai-Delhi,2024-01-03,Weekday,18:00,1215,1368,19,1,4
T123,Chennai-Bengaluru,2024-02-25,Weekend,10:15,526,1080,15,4,0
T124,Kolkata-Chennai,2024-02-27,Weekday,21:30,1039,1368,19,3,15
T125,Kolkata-Chennai,2024-02-19,Weekday,10:15,1065,1008,14,4,0
T126,Chennai-Bengaluru,2024-01-03,Weekday,21:30,937,1296,18,1,0
T127,Kolkata-Chennai,2024-03-17,Weekend,18:00,639,648,9,6,0
T128,Delhi-Kolkata,2024-02-06,Weekend,18:00,921,1008,14,6,15
T129,Bengaluru-Mumbai,2024-03-18,Weekday,08:30,740,1008,14,5,20
T130,Kolkata-Chennai,2024-02-22,Weekend,23:15,1360,1440,20,5,21
T131,Kolkata-Chennai,2024-02-26,Weekend,21:30,535,1152,16,6,25
T132,Kolkata-Chennai,2024-01-30,Holiday,21:30,1197,1224,17,3,24
T133,Bengaluru-Mumbai,2024-02-17,Holiday,21:30,1511,1080,15,6,13
T134,Delhi-Kolkata,2024-02-27,Holiday,10:15,773,648,9,3,26
T135,Mumbai-Delhi,2024-02-22,Weekend,18:00,1309,1584,22,2,38
T136,Kolkata-Chennai,2024-02-16,Weekend,14:45,673,648,9,6,0
T137,Chennai-Bengaluru,2024-02-22,Weekday,18:00,515,936,13,3,26
T138,Bengaluru-Mumbai,2024-03-14,Weekend,08:30,622,1296,18,2,0
T139,Chennai-Bengaluru,2024-03-14,Weekday,08:30,757,864,12,6,0
T140,Mumbai-Delhi,2024-02-06,Weekday,10:15,816,792,11,2,0
T141,Chennai-Bengaluru,2024-01-21,Weekend,18:00,404,1224,17,4,38
T142,Kolkata-Chennai,2024-01-29,Weekend,10:15,1453,1584,22,6,0
T143,Kolkata-Chennai,2024-03-10,Weekday,14:45,1409,1296,18,3,0
T144,Mumbai-Delhi,2024-01-23,Holiday,14:45,583,648,9,1,23
T145,Kolkata-Chennai,2024-01-18,Holiday,18:00,1001,936,13,5,22
T146,Chennai-Bengaluru,2024-02-19,Weekday,18:00,821,864,12,3,5
T147,Bengaluru-Mumbai,2024-02-09,Weekend,10:15,401,720,10,6,12
T148,Kolkata-Chennai,2024-01-30,Holiday,21:30,686,576,8,6,28
T149,Chennai-Bengaluru,2024-01-21,Weekend,23:15,646,792,11,1,0
T150,Bengaluru-Mumbai,2024-01-26,Weekday,14:45,465,1296,18,1,21
T151,Kolkata-Chennai,2024-02-27,Weekday,21:30,436,720,10,4,0
T152,Mumbai-Delhi,2024-03-19,Weekend,18:00,1325,1584,22,3,12
T153,Bengaluru-Mumbai,2024-01-22,Weekday,18:00,1308,1512,21,4,0
T154,Chennai-Bengaluru,2024-01-04,Weekday,06:00,390,576,8,4,0
T155,Bengaluru-Mumbai,2024-01-02,Weekday,18:00,524,1224,17,4,42
T156,Bengaluru-Mumbai,2024-02-16,Weekend,08:30,616,720,10,4,0
T157,Bengaluru-Mumbai,2024-01-15,Weekday,10:15,1099,1368,19,6,2
T158,Kolkata-Chennai,2024-02-06,Holiday,06:00,780,720,10,2,42
T159,Kolkata-Chennai,2024-03-07,Weekday,08:30,1408,1512,21,6,4
T160,Bengaluru-Mumbai,2024-01-29,Holiday,18:00,1636,1512,21,4,0
T161,Mumbai-Delhi,2024-03-09,Holiday,08:30,1136,1512,21,4,0
T162,Bengaluru-Mumbai,2024-02-06,Weekday,10:15,1031,1080,15,3,3
T163,Delhi-Kolkata,2024-03-19,Holiday,21:30,1158,1008,14,5,0
T164,Mumbai-Delhi,2024-03-07,Weekend,08:30,556,576,8,4,14
T165,Chennai-Bengaluru,2024-02-23,Weekend,18:00,662,864,12,6,39
T166,Mumbai-Delhi,2024-03-12,Holiday,08:30,867,720,10,3,11
T167,Chennai-Bengaluru,2024-03-02,Weekend,06:00,783,936,13,4,4
T168,Bengaluru-Mumbai,2024-02-12,Weekend,21:30,709,864,12,5,0
T169,Delhi-Kolkata,2024-02-06,Weekend,08:30,452,648,9,3,23
T170,Kolkata-Chennai,2024-02-12,Weekend,10:15,324,792,11,3,2
T171,Mumbai-Delhi,2024-01-05,Weekday,10:15,1546,1584,22,4,14
T172,Mumbai-Delhi,2024-02-29,Weekday,21:30,951,1152,16,4,18
T173,Kolkata-Chennai,2024-03-06,Weekday,06:00,745,1080,15,3,0
T174,Delhi-Kolkata,2024-02-02,Holiday,06:00,1396,1008,14,4,0
T175,Delhi-Kolkata,2024-01-20,Weekday,18:00,1435,1584,22,2,13
T176,Chennai-Bengaluru,2024-02-07,Weekday,06:00,620,1008,14,5,7
T177,Mumbai-Delhi,2024-03-18,Holiday,08:30,2155,1512,21,4,17
T178,Delhi-Kolkata,2024-02-04,Holiday,14:45,702,1296,18,5,13
T179,Mumbai-Delhi,2024-02-20,Weekend,23:15,678,1512,21,3,43
T180,Bengaluru-Mumbai,2024-01-02,Holiday,21:30,924,648,9,5,6
T181,Kolkata-Chennai,2024-02-15,Weekday,21:30,602,648,9,2,13
T182,Chennai-Bengaluru,2024-02-26,Holiday,10:15,882,1224,17,3,26
T183,Delhi-Kolkata,2024-02-23,Weekday,18:00,325,936,13,1,25
T184,Kolkata-Chennai,2024-02-28,Weekday,08:30,563,1152,16,4,0
T185,Kolkata-Chennai,2024-01-05,Holiday,06:00,1248,1008,14,6,0
T186,Chennai-Bengaluru,2024-01-14,Holiday,10:15,1067,864,12,4,0
T187,Mumbai-Delhi,2024-01-24,Weekday,06:00,1231,1512,21,4,22
T188,Kolkata-Chennai,2024-01-20,Weekday,08:30,749,1296,18,4,14
T189,Chennai-Bengaluru,2024-01-05,Weekend,08:30,420,1224,17,5,50
T190,Kolkata-Chennai,2024-02-17,Weekend,23:15,741,1224,17,6,10
T191,Bengaluru-Mumbai,2024-02-17,Weekday,21:30,1404,1296,18,5,0
T192,Delhi-Kolkata,2024-03-08,Weekday,08:30,374,936,13,5,19
T193,Bengaluru-Mumbai,2024-02-22,Weekday,10:15,563,1368,19,5,10
T194,Chennai-Bengaluru,2024-03-12,Weekend,23:15,267,648,9,5,0
T195,Chennai-Bengaluru,2024-01-27,Holiday,21:30,547,1368,19,1,2
T196,Kolkata-Chennai,2024-03-17,Weekend,23:15,829,1440,20,6,0
T197,Delhi-Kolkata,2024-01-29,Holiday,08:30,2026,1584,22,4,27
T198,Chennai-Bengaluru,2024-03-19,Weekend,14:45,983,1296,18,2,5
T199,Bengaluru-Mumbai,2024-02-29,Holiday,18:00,622,936,13,2,0
T200,Chennai-Bengaluru,2024-01-14,Weekend,23:15,833,1512,21,6,5
T201,Delhi-Kolkata,2024-01-03,Weekday,06:00,766,1224,17,4,8
T202,Bengaluru-Mumbai,2024-03-08,Weekend,06:00,1226,1296,18,2,28
T203,Kolkata-Chennai,2024-02-11,Weekend,10:15,585,648,9,4,26
T204,Delhi-Kolkata,2024-01-12,Weekend,14:45,1592,1440,20,5,0
T205,Delhi-Kolkata,2024-01-11,Weekend,14:45,512,792,11,5,34
T206,Chennai-Bengaluru,2024-02-09,Weekend,08:30,1271,1512,21,6,0
T207,Kolkata-Chennai,2024-01-17,Holiday,14:45,998,936,13,4,22
T208,Bengaluru-Mumbai,2024-01-17,Holiday,06:00,486,648,9,1,41
T209,Mumbai-Delhi,2024-01-18,Weekend,10:15,1004,1008,14,2,18
T210,Delhi-Kolkata,2024-03-05,Weekend,21:30,812,1224,17,4,18
T211,Kolkata-Chennai,2024-03-02,Weekday,08:30,460,648,9,4,20
T212,Chennai-Bengaluru,2024-02-22,Weekend,14:45,1173,1008,14,5,8
T213,Mumbai-Delhi,2024-03-21,Weekday,21:30,691,792,11,4,2
T214,Kolkata-Chennai,2024-03-10,Holiday,14:45,609,936,13,3,1
T215,Chennai-Bengaluru,2024-02-26,Weekend,14:45,630,1152,16,6,67
T216,Chennai-Bengaluru,2024-02-08,Weekday,14:45,784,1584,22,4,4
T217,Delhi-Kolkata,2024-01-27,Weekday,18:00,1404,1512,21,6,0
T218,Chennai-Bengaluru,2024-03-02,Holiday,06:00,512,1296,18,3,20
T219,Bengaluru-Mumbai,2024-03-14,Weekday,10:15,739,1152,16,4,0
T220,Bengaluru-Mumbai,2024-03-21,Holiday,21:30,1010,1152,16,2,0
T221,Kolkata-Chennai,2024-02-13,Holiday,08:30,733,1080,15,6,43
T222,Delhi-Kolkata,2024-01-17,Weekday,21:30,427,1008,14,6,17
T223,Kolkata-Chennai,2024-01-27,Holiday,10:15,546,1152,16,6,31
T224,Chennai-Bengaluru,2024-02-23,Weekday,21:30,420,1008,14,2,1
T225,Bengaluru-Mumbai,2024-02-05,Weekend,18:00,376,1008,14,4,14
T226,Chennai-Bengaluru,2024-03-15,Weekday,18:00,564,936,13,3,18
T227,Mumbai-Delhi,2024-03-05,Weekend,23:15,680,720,10,1,15
T228,Kolkata-Chennai,2024-01-11,Holiday,21:30,1258,1368,19,1,1
T229,Bengaluru-Mumbai,2024-02-11,Weekend,18:00,310,648,9,3,17
T230,Chennai-Bengaluru,2024-03-11,Holiday,14:45,767,1080,15,3,3
T231,Bengaluru-Mumbai,2024-02-01,Holiday,18:00,752,648,9,3,0
T232,Delhi-Kolkata,2024-03-03,Holiday,18:00,1592,1368,19,1,22
T233,Kolkata-Chennai,2024-02-06,Weekend,10:15,401,792,11,6,29
T234,Mumbai-Delhi,2024-03-11,Weekend,23:15,763,1080,15,4,0
T235,Mumbai-Delhi,2024-02-15,Holiday,23:15,1444,1296,18,3,33
T236,Bengaluru-Mumbai,2024-01-25,Weekend,18:00,1610,1584,22,1,20
T237,Kolkata-Chennai,2024-03-16,Weekday,06:00,766,1224,17,6,37
T238,Mumbai-Delhi,2024-02-24,Holiday,18:00,1129,1008,14,4,14
T239,Bengaluru-Mumbai,2024-02-24,Holiday,10:15,808,576,8,1,42
T240,Kolkata-Chennai,2024-02-14,Weekday,14:45,607,576,8,4,0
T241,Mumbai-Delhi,2024-01-15,Holiday,23:15,566,648,9,3,0
T242,Kolkata-Chennai,2024-03-15,Holiday,18:00,479,864,12,4,13
T243,Chennai-Bengaluru,2024-03-06,Weekday,06:00,206,576,8,2,0
T244,Kolkata-Chennai,2024-01-27,Weekend,18:00,484,720,10,5,28
T245,Mumbai-Delhi,2024-01-13,Holiday,21:30,1509,1440,20,4,3
T246,Delhi-Kolkata,2024-02-16,Holiday,18:00,561,1224,17,6,0
T247,Kolkata-Chennai,2024-02-17,Weekday,10:15,458,1008,14,3,25
T248,Bengaluru-Mumbai,2024-01-25,Weekday,10:15,633,864,12,5,6
T249,Mumbai-Delhi,2024-01-19,Weekend,21:30,325,576,8,6,0
T250,Kolkata-Chennai,2024-02-12,Holiday,08:30,793,1584,22,2,19
T251,Chennai-Bengaluru,2024-02-02,Holiday,18:00,1445,1440,20,2,0
T252,Bengaluru-Mumbai,2024-01-31,Weekend,21:30,1059,1008,14,3,17
T253,Chennai-Bengaluru,2024-01-24,Holiday,23:15,1205,864,12,5,26
T254,Kolkata-Chennai,2024-01-23,Holiday,23:15,809,864,12,1,35
T255,Chennai-Bengaluru,2024-01-03,Holiday,21:30,725,720,10,6,11
T256,Kolkata-Chennai,2024-03-15,Weekday,23:15,207,648,9,1,20
T257,Mumbai-Delhi,2024-02-27,Weekend,23:15,1626,1440,20,5,0
T258,Mumbai-Delhi,2024-01-28,Weekday,06:00,1409,1368,19,6,3
T259,Kolkata-Chennai,2024-01-01,Weekend,14:45,317,576,8,4,10
T260,Chennai-Bengaluru,2024-01-15,Weekend,06:00,1395,1368,19,4,29
T261,Mumbai-Delhi,2024-01-27,Weekday,14:45,824,1008,14,2,0
T262,Mumbai-Delhi,2024-03-03,Weekday,08:30,606,1296,18,5,3
T263,Bengaluru-Mumbai,2024-02-26,Holiday,06:00,1210,1440,20,3,22
T264,Bengaluru-Mumbai,2024-02-06,Weekday,23:15,358,1152,16,6,13
T265,Mumbai-Delhi,2024-02-21,Weekday,21:30,963,1080,15,1,12
T266,Chennai-Bengaluru,2024-02-26,Weekday,21:30,1338,1368,19,5,12
T267,Chennai-Bengaluru,2024-01-14,Holiday,08:30,643,720,10,2,0
T268,Bengaluru-Mumbai,2024-03-07,Weekday,14:45,382,720,10,4,29
T269,Bengaluru-Mumbai,2024-02-01,Weekday,10:15,762,864,12,4,5
T270,Kolkata-Chennai,2024-01-08,Weekday,10:15,366,1152,16,1,17
T271,Kolkata-Chennai,2024-02-02,Weekday,23:15,254,648,9,5,13
T272,Chennai-Bengaluru,2024-02-26,Weekday,18:00,958,1512,21,2,47
T273,Kolkata-Chennai,2024-03-08,Holiday,23:15,897,1440,20,5,14
T274,Kolkata-Chennai,2024-03-09,Holiday,21:30,1853,1512,21,4,14
T275,Mumbai-Delhi,2024-03-08,Weekday,14:45,408,648,9,6,0
T276,Chennai-Bengaluru,2024-02-19,Weekend,14:45,303,576,8,3,19
T277,Delhi-Kolkata,2024-02-14,Weekday,14:45,1066,1152,16,5,0
T278,Chennai-Bengaluru,2024-02-02,Weekend,08:30,826,792,11,2,19
T279,Chennai-Bengaluru,2024-01-24,Weekday,06:00,562,1584,22,1,16
T280,Kolkata-Chennai,2024-02-22,Weekday,21:30,773,1296,18,4,2
T281,Mumbai-Delhi,2024-01-03,Weekday,14:45,482,1368,19,2,0
T282,Delhi-Kolkata,2024-01-17,Holiday,14:45,715,576,8,3,18
T283,Kolkata-Chennai,2024-02-11,Holiday,10:15,1947,1512,21,2,1
T284,Bengaluru-Mumbai,2024-02-11,Weekend,14:45,644,792,11,3,6
T285,Delhi-Kolkata,2024-01-13,Weekday,10:15,871,1440,20,4,0
T286,Bengaluru-Mumbai,2024-02-26,Holiday,10:15,1098,1296,18,1,44
T287,Chennai-Bengaluru,2024-01-15,Weekend,08:30,358,1008,14,5,43
T288,Kolkata-Chennai,2024-01-29,Weekday,06:00,174,576,8,5,11
T289,Chennai-Bengaluru,2024-02-12,Holiday,21:30,839,720,10,3,12
T290,Delhi-Kolkata,2024-03-14,Weekend,10:15,541,1440,20,6,0
T291,Chennai-Bengaluru,2024-01-18,Holiday,23:15,380,648,9,3,0
T292,Kolkata-Chennai,2024-03-10,Weekend,10:15,498,648,9,3,43
T293,Mumbai-Delhi,2024-02-01,Holiday,18:00,1197,1368,19,2,22
T294,Kolkata-Chennai,2024-01-27,Holiday,14:45,923,864,12,4,26
T295,Delhi-Kolkata,2024-03-18,Holiday,06:00,1466,1440,20,3,0
T296,Mumbai-Delhi,2024-03-19,Weekday,08:30,347,648,9,2,6
T297,Bengaluru-Mumbai,2024-03-13,Weekend,08:30,548,1440,20,5,24
T298,Delhi-Kolkata,2024-03-01,Holiday,23:15,494,864,12,2,0
T299,Chennai-Bengaluru,2024-01-03,Weekday,23:15,782,864,12,3,0
T300,Bengaluru-Mumbai,2024-03-06,Weekend,23:15,973,1224,17,5,0
T301,Bengaluru-Mumbai,2024-02-20,Weekend,21:30,1378,1224,17,1,36
T302,Mumbai-Delhi,2024-01-22,Weekend,10:15,1272,1152,16,4,0
T303,Kolkata-Chennai,2024-02-08,Holiday,18:00,1215,1008,14,3,0
T304,Bengaluru-Mumbai,2024-02-10,Weekday,14:45,228,648,9,1,0
T305,Bengaluru-Mumbai,2024-02-17,Weekday,14:45,488,1440,20,6,46
T306,Kolkata-Chennai,2024-01-14,Weekend,14:45,927,936,13,2,20
T307,Kolkata-Chennai,2024-01-26,Holiday,21:30,1160,864,12,1,13
T308,Kolkata-Chennai,2024-03-12,Holiday,08:30,1267,1584,22,3,0
T309,Mumbai-Delhi,2024-02-09,Weekend,14:45,811,1080,15,4,0
T310,Kolkata-Chennai,2024-02-03,Holiday,06:00,1531,1584,22,2,12
T311,Chennai-Bengaluru,2024-03-09,Weekend,06:00,1204,1080,15,2,0
T312,Mumbai-Delhi,2024-02-21,Weekday,08:30,512,1368,19,4,14
T313,Kolkata-Chennai,2024-03-15,Weekend,14:45,800,1440,20,6,9
T314,Mumbai-Delhi,2024-02-02,Weekday,18:00,592,792,11,2,27
T315,Mumbai-Delhi,2024-02-01,Weekday,14:45,678,936,13,3,17
T316,Bengaluru-Mumbai,2024-02-27,Weekday,23:15,741,1296,18,3,0
T317,Bengaluru-Mumbai,2024-02-13,Weekday,21:30,796,1296,18,4,29
T318,Mumbai-Delhi,2024-01-12,Holiday,10:15,639,1152,16,6,5
T319,Kolkata-Chennai,2024-03-17,Weekday,14:45,425,864,12,4,17
T320,Bengaluru-Mumbai,2024-02-07,Weekend,23:15,971,1512,21,4,7
T321,Bengaluru-Mumbai,2024-03-02,Weekend,06:00,872,864,12,5,15
T322,Bengaluru-Mumbai,2024-01-15,Weekend,21:30,412,792,11,3,0
T323,Bengaluru-Mumbai,2024-03-13,Weekday,08:30,1128,1152,16,3,1
T324,Delhi-Kolkata,2024-01-01,Weekday,06:00,308,576,8,6,47
T325,Kolkata-Chennai,2024-02-29,Weekday,10:15,674,648,9,4,21
T326,Kolkata-Chennai,2024-03-01,Holiday,10:15,1415,1152,16,4,33
T327,Bengaluru-Mumbai,2024-02-09,Holiday,23:15,1708,1512,21,4,0
T328,Mumbai-Delhi,2024-02-17,Weekend,14:45,651,1152,16,2,30
T329,Kolkata-Chennai,2024-01-27,Weekday,08:30,1103,1440,20,4,2
T330,Delhi-Kolkata,2024-01-08,Weekday,06:00,833,1152,16,5,0
T331,Bengaluru-Mumbai,2024-03-03,Holiday,10:15,566,576,8,2,18
T332,Bengaluru-Mumbai,2024-01-03,Holiday,08:30,421,648,9,2,8
T333,Bengaluru-Mumbai,2024-01-20,Weekday,23:15,764,936,13,5,0
T334,Mumbai-Delhi,2024-01-15,Holiday,06:00,945,792,11,6,0
